,unit_params,param_names
0,-0.7385689616203308,gNaTs2_tbar_NaTs2_t_apical
1,-0.48681795597076416,gSKv3_1bar_SKv3_1_apical
2,0.6924272179603577,gImbar_Im_apical
3,1.7214925289154053,gIhbar_Ih_dend
4,0.3852429687976837,gNaTa_tbar_NaTa_t_axonal
5,0.13372665643692017,gK_Tstbar_K_Tst_axonal
6,-0.22562824189662933,gNap_Et2bar_Nap_Et2_axonal
7,0.28579363226890564,gSK_E2bar_SK_E2_axonal
8,-1.063511610031128,gCa_HVAbar_Ca_HVA_axonal
9,0.10987191647291183,gK_Pstbar_K_Pst_axonal
10,-0.799906849861145,gCa_LVAstbar_Ca_LVAst_axonal
11,1.8259767293930054,g_pas_axonal
12,5.143615245819092,cm_axonal
13,-0.42178618907928467,gSKv3_1bar_SKv3_1_somatic
14,-1.720030665397644,gNaTs2_tbar_NaTs2_t_somatic
15,-1.930205225944519,gCa_LVAstbar_Ca_LVAst_somatic
16,-2.3501226902008057,g_pas_somatic
17,-2.1940791606903076,cm_somatic
18,-0.6818129420280457,e_pas_all
